player,teammate,weight
ineedluck,kimbarleeee,1
ineedluck,kingsleychan94,1
ineedluck,lucygao,1
IneqPR,leogulus,1
IneqPR,nknknk,3
IneqPR,nknknknk,1
IneqPR,pattara,3
IneqPR,pattaras,1
IneqPR,qlixilp,3
IneqPR,weewii,2
inerong,racgabu,5
inerong,WolfmanAmadeus,32
Ines,Martaclba,3
Ines,Pedrommb,1
inesvdpb,maertin,5
inesvdpb,sanik1,19
inesvdpb,sanik12,2
inesvdpb,Woodylife,2
inf.dreams,nancyqiang69,2
inf.dreams,quackquack.04,1
infant_al_thor,mudit1234567890,15
infant_al_thor,tejask,6
infant_al_thor,tejask1896,12
infant_al_thor,tjk,14
infant_al_thor,tjkwalfromsu,8
infected1000403,Kateplusari,1
infected1000403,OrenSmells,1
Inferior,PMP,4
Inferior,srindla,5
Inferior,SriWang,10
Inferior,william65538,2
InfernalRain,lebowski,2
InfernalRain,Monsi,2
InfernoSnowman,noodle,7
InfernoSnowman,Samonlyfamcam,1
InfernoSnowman,TwentyLightbulb,25
InfiniteNature,Rabbage,18
InfiniteNature,RabbageCabbage,5
InfiniteNature,will.i.am,1
infinitestory,taminiora,10
infinitetwist,STEAMROLLER,2
infinity00,itsmemario,2
infinity00,jasonnoble,1
infinity00,jasonnoble2467,132
infinity00,jwngr,1
infinity00,koookas,1
infinity00,koookas22,1
infinity00,Kyle,2
infinity00,Libster,3
infinity00,Livia,3
infinity00,micerang,3
infinity00,newduke,1
infinity00,Onen,6
infinity00,orucsoraihc,1
infinity00,pantalones,6
infinity00,pianoblook,1
infinity00,Ptheven,1
infinity00,red_hedgehog,3
infinity00,ricardodd,6
infinity00,robb,1502
infinity00,robense,5
infinity00,rubywizard,2020
infinity00,spottedmander,4
infinity00,SriWang,2
infinity00,West,1
infinity00,Westminsters,2
infinity00,Zamiel,3
infinity00,zetty0817,1097
InflatableKayak,jian01,1
InflatableKayak,Lanvin,6
InflatableKayak,macanek,2
InflatableKayak,madal,1
InflatableKayak,MathNoob,1
InflatableKayak,newduke,3
InflatableKayak,Nitrate,2
InflatableKayak,nkkarpov,2
InflatableKayak,nwajfromoz,2
InflatableKayak,Onen,3
InflatableKayak,otterful,1
InflatableKayak,Padouga,5
InflatableKayak,Pimak,4
InflatableKayak,pm29Jan,1
InflatableKayak,PMP,3
InflatableKayak,rahsosprout,5
InflatableKayak,scarafaggio,2
InflatableKayak,sephiroth,2
InflatableKayak,Spruelo,1
InflatableKayak,Sucubis,2
InflatableKayak,Zahard,3
InflatableKayak,火花,3
InflatibleYoshi,jmeas_kdsauri,1
InflatibleYoshi,mandyy,1
InflatibleYoshi,mishen,1
InflatibleYoshi,nugu,1
inflynnity,mottad14,2
infographics,rendo2,4
informalCrayon,RFCArrow,1
infra_dat,Kathlrrn,4
infra_dat,Sheep,4
Ingafu,sunpup,1
Ingafu,thot,1
ingakristina,joaOliveira,2
ingakristina,mlacayo,4
ingakristina,Nitrate,1
ingakristina,padi,1
ingakristina,Tag,4
ingakristina,YacineH,1
ingoandrhani,jacelaff,1
Ingridfoll,kristr,3
Ingridfoll,martinenybakk,3
ingridhansen,tlgan1,1
ingridhansen,UncleBob,1
Ingvild T,martinyb,2
Ingvild T,sindrenn,2
Inhale-me,renman,1
Inhale-me,test,1
inharmony,myman,1
inharmony,patricKk,1
inharmony,reeeeeeeeee,1
inharmony,rochi,1
inifuss,Mond,1
iniv,kko,3
iniv,redrum,12
iniv,thibaultr,3
INK,nyngal,4
Inka,KrisRa,5
inkkaee,poofman72,1
inkkaee,Yeee,1
inku94,kuba94,3
inku94,Sabina.balbina,3
Innad,Tier3Sub,2
Innad,XternalMayhem,7
InnerCitySumo,JonathanHicks,4
InnerCitySumo,Rabidbean,10
innerpeas,K0k049,2
innerpeas,kandiebaer,2
innerpeas,thisisatest,2
inom,mlui,1
inom,mmsieth,4
inom,vt01,1
Inotic,JimmyBustANut,3
Inotic,Polaroid,3
Inotic,primarysloot,3
inpector,isbeorn,1
inpector,McPhisto2051,2
inpector,MKQ,3
inpector,RedJoka,1
inpector,Triqueon,6
inpector,UCas,7
inpector,yvi,2
InS,Pamelagio,11
InS,Ricca29,29
Inschato2,Twinge,1
Inschato2,zztraider,1
insecureuser,kaybee7,6
insecureuser,kd,6
insecureuser,pulliraja,3
insecureuser,sriramn86,6
insecureuser,wanabi,6
Inseltochter123,JulianKoe,6
Inseltochter123,Veronabi,6
insephrius,joycee,2
insomnia,nuzzy,1
insomnia,ShadyAshley,1
insomnia,vananhv,1
insomniac,LLwinner,1
insomniac,profquibb,4
insomniac,ramzhatesoreos,2
insomniac,tramadoss,4
inspirasion7,jian01,1
inspirasion7,LautiManzano,1
insta,Kaznad,2
insta,Padouga,2
Instantiation,invarse,31
Instantiation,ivanovsky,2
Instantiation,Jamie Hargrove,1
Instantiation,jamiehargrove,5
Instantiation,jeep,100
Instantiation,JonnyMilldawg,5
Instantiation,JustSparky,4
Instantiation,Kaito Kid,3
Instantiation,Karisa,8
Instantiation,katgamingftw,1
Instantiation,Kirisu,6
Instantiation,kopen,8
Instantiation,Kyle,1
Instantiation,Libster,189
Instantiation,Livia,4
Instantiation,Lobster,2
Instantiation,Mapwarrior,4
Instantiation,Mike,49
Instantiation,Milldawg,29
Instantiation,Naive_Riolu,3
Instantiation,nmego,13
Instantiation,NoMercy,36
Instantiation,NotRaKXeR,42
Instantiation,NumerateClutter,18
Instantiation,Outlaw,1
Instantiation,piper,1
Instantiation,postmans,10
Instantiation,potatochips,9
Instantiation,progamingwithed,1
Instantiation,PtitMax,11
Instantiation,Pyronaut,20
Instantiation,qqqq,63
Instantiation,qwertyelmer,1
Instantiation,RaKXeR,88
Instantiation,rat,2
Instantiation,RavenGr,7
Instantiation,Razgovor,30
Instantiation,Razvogor,3
Instantiation,rocket,50
Instantiation,rs1,2
Instantiation,sankala,126
Instantiation,scharkbite,132
Instantiation,SedNegi,3
Instantiation,SeldeGuérande,16
Instantiation,Slugmercenary,8
Instantiation,smallman,4
Instantiation,soxinfox,2
Instantiation,speedfrog,23
Instantiation,squirleon,4
Instantiation,swamplor,34
Instantiation,Swifter,76
Instantiation,thatnumbersguy_,1
Instantiation,Tiberyus,25
Instantiation,TimeHoodie,1
Instantiation,ToastedZergling,1
Instantiation,TomV,6
Instantiation,Tricky,1
Instantiation,Twinge,35
Instantiation,TwingeBot,2
Instantiation,tysathem,2
Instantiation,Valetta6789,4
Instantiation,Yaodema,10
Instantiation,Yeesh,22
Instantiation,Zamiel,304
Instantiation,Zy,11
Instantiation,zztraider,51
instantnoodle21,Wong1112,4
InstantRice,MoreChickenPlz,9
Insub,jmal,2
Insub,jthunderpants,2
Insurrection,lboddiford,3
Insurrection,Unicycler,3
integrin,jpage,1
integrin,michellejieun,7
integrin,salvete,1
integrin,WFC,1
intello21,spyco,2
intello21,Tisax190,2
intello21,Xellement,1
intello21,xilax1313,1
intello22,killme,2
intello22,Kyn,2
intello22,sendsdevil,2
intello22,teddy,2
interferoman,jason17055,1
interferoman,jason17055a,9
Internacional,Joaquito,8
Internacional,mgce,3
Internacional,Modulín,7
Internacional,PierreMenard,1
Internacional,SÚPER_ROMAAAAN,18
Internacional,Winchuka,1
Internacional,yaquito,1
internetnoob,lalaalaa,6
IntExp,owen123,2
IntExp,PasswordPepega,2
IntExpButAgain,owen12345,2
IntExpButAgain,PasswordPepega,2
inthemeowse,opjgdgjssdig,1
inthemeowse,Samy,1
inthemeowse,thomas130,1
Inthemoonlight,zukinibeanie,3
intjester,magikarp,3
intjester,sjdrodge,1
Inu,kagg,1
Inu,Sravani,1
Inu,yash,1
invalidquery,kappatosity,1
invalidquery,kevincaseytdk1,1
invalidquery,MalachiteMoa,1
invalidquery,vjk,1
