player,teammate,weight
Animex22,Animex52,3
Animex22,Dr_Kakashi,1
Animex22,joe_biden,1
Animex22,Nitrate2,1
Animex22,orucsoraihc,1
Animex22,penisman,2
Animex22,rachy,23
Animex22,Stinkydude63,1
Animex22,vEnhance,1
Animex22,Wolfiee,1
Animex52,anser,3
Animex52,antitelharsic,89
Animex52,aquarelle,73
Animex52,arc,1
Animex52,aredus,2
Animex52,arnino,3
Animex52,Artificial,3
Animex52,asaelr,46
Animex52,Asddsa76,3
Animex52,AutumnHedgehog,2
Animex52,avanderwalde,3
Animex52,ayauhcoatl,1
Animex52,barnheartowl,4
Animex52,Beardy,2
Animex52,bebkoglorius,1
Animex52,bjnh,1
Animex52,blackswi,4
Animex52,blueberry,3
Animex52,boba,195
Animex52,Bonja97,23
Animex52,BraydonM,2
Animex52,Buds,2
Animex52,bulbasaur,1
Animex52,callistooooo,1
Animex52,Carunty,18
Animex52,catula,280
Animex52,charmander,1
Animex52,chocman5,3
Animex52,ChristopheAF,1
Animex52,chriswck,4
Animex52,claudiob,10
Animex52,colton,3
Animex52,CompleteTrust,2
Animex52,Cory,2
Animex52,CoxZuckrMachine,16
Animex52,crossproduct,2
Animex52,Cynas,2
Animex52,darkenblade986,1
Animex52,Darth_Calculus,1
Animex52,Denchulitas,2
Animex52,derekcheah,25
Animex52,DMoney,5
Animex52,DMS,4
Animex52,dobi,2
Animex52,doctorabi,8
Animex52,dontmacme,4
Animex52,Dr_Kakashi,60
Animex52,DrJones,7
Animex52,duckmammal,3
Animex52,duckmedic,4
Animex52,dwu,1
Animex52,Dwu123,2
Animex52,ebin_noob,1
Animex52,edens,1
Animex52,eevee,13
Animex52,Efece,6
Animex52,egerdm,5
Animex52,ejnyebejnye,2
Animex52,ejwu,25
Animex52,Elatekur,5
Animex52,eliclax,13
Animex52,eljavi,1
Animex52,eljobe,1
Animex52,emilyzhao,95
Animex52,EsonLinji,1
Animex52,evelyn,1
Animex52,exfret,1
Animex52,Feer,1
Animex52,Feich59,3
Animex52,FerKeth,15
Animex52,Fey,14
Animex52,Fireheart,55
Animex52,Floriman,3
Animex52,frollo9386,3
Animex52,frosty104,7
Animex52,GunPetal,2
Animex52,hailey,1
Animex52,hakha3,2
Animex52,hanabornoob,2
Animex52,Hapotata,2
Animex52,hedgepig,6
Animex52,HelanaAshryvr,58
Animex52,hhhhhhhhhhhh,1
Animex52,hojaverdeee,2
Animex52,honkbeep,2
Animex52,honobu,3
Animex52,honzas,16
Animex52,hughjanus,11
Animex52,IAMJEFF,9
Animex52,ilmrak,1
Animex52,indego,10
Animex52,indegoo,1
Animex52,invarse,19
Animex52,IsabeltheCat,22
Animex52,Iullo,4
Animex52,jack67889,79
Animex52,JackFrost,3
Animex52,Jake_Stiles,11
Animex52,JDepp,2
Animex52,jecaismyname,1
Animex52,jeff10,5
Animex52,JerryYang,2
Animex52,joelwool,28
Animex52,kalisa,2
Animex52,katian,4
Animex52,Kernel,1
Animex52,kevincaseytdk1,1
Animex52,kimbifille,5
Animex52,kinkajusrevenge,1
Animex52,kiwakandyfloss,1
Animex52,knaphill,3
Animex52,kodomazer,8
Animex52,kondain,5
Animex52,ksfortson,1
Animex52,Kyle,24
Animex52,LaFayetteX,18
Animex52,lalchetian,5
Animex52,Lanvin,51
Animex52,Lel0uch,54
Animex52,letical,20
Animex52,level_0,5
Animex52,level_17,2
Animex52,Libster,7
Animex52,Lilliana,4
Animex52,Livia,13
Animex52,lotem,5
Animex52,louietyj,1
Animex52,macanek,2
Animex52,magikarp,2
Animex52,Maiorskills,4
Animex52,Mala,1
Animex52,MalachiteMoa,2
Animex52,MarekU,1
Animex52,marilyn,2
Animex52,mario86,3
Animex52,MarkusKahlsen,36
Animex52,MasN,2
Animex52,MasterP,1
Animex52,mcelevan12,3
Animex52,melwen,47
Animex52,methmatics,74
Animex52,metta,2
Animex52,Metylene,2
Animex52,micerang,26
Animex52,Mike,2
Animex52,Mishka,1
Animex52,MKQ,5
Animex52,moeski,2
Animex52,muerto,4
Animex52,mystus,2
Animex52,nachoz,3
Animex52,Namster,2
Animex52,newduke,15
Animex52,Nils,1
Animex52,nitawa,158
Animex52,Nitrate,6
Animex52,Nitrate2,53
Animex52,nly7,2
Animex52,nukelauncher,1
Animex52,orucsoraihc,30
Animex52,Pablo-,61
Animex52,padi,9
Animex52,parrotdoxair,2
Animex52,penisman,73
Animex52,Pepepe,3
Animex52,pianoblook,24
Animex52,Pikachu,2
Animex52,piper,13
Animex52,plus,2
Animex52,possum,2
Animex52,postmans,2
Animex52,Ptheven,5
Animex52,Puzzle,5
Animex52,qbphoenix,3
Animex52,qqqq,2
Animex52,rachyrules,28
Animex52,Radax,2
Animex52,RaKXeR,7
Animex52,Razvogor,2
Animex52,reuzed,8
Animex52,rft50,3
Animex52,ricardodd,3
Animex52,Ricca29,2
Animex52,rkass,3
Animex52,rmitra5,1
Animex52,robense,28
Animex52,Romain672,6
Animex52,rs1,4
Animex52,Rubix,5
Animex52,rz,1
Animex52,sankala,3
Animex52,savoryoatmeal,9
Animex52,scharkbite,7
Animex52,sephiroth,91
Animex52,shootinglucky,3
Animex52,sin_faith,52
Animex52,sin_nofaith,1
Animex52,sjdrodge,3
Animex52,Slonimsky,1
Animex52,smallman,4
Animex52,Smandon,4
Animex52,Smelly-Phlegm,1
Animex52,SmellyJoe,3
Animex52,spbsuitmo,2
Animex52,Spip_B,1
Animex52,squidgetx,87
Animex52,squirrel1988,43
Animex52,SriWang,1
Animex52,stardust,3
Animex52,Stinkydude63,90
Animex52,stinkygf,1
Animex52,StKildaFan,35
Animex52,Sucubis,115
Animex52,swineherd,13
Animex52,sylvia,1
Animex52,TheDaniMan,35
Animex52,TheWaisel,1
Animex52,TimeHoodie,47
Animex52,timotree,15
Animex52,Tiramisu1th,12
Animex52,Toguimaraes,2
Animex52,tserclaes,1
Animex52,Valetta6789,4
Animex52,Veexliat,2
Animex52,vEnhance,29
Animex52,VerySloppyTwo,23
Animex52,Viovio87,2
Animex52,vjk,1
Animex52,voss,3
Animex52,voss2,1
Animex52,wavychips,1
Animex52,whalesgomoo,48
Animex52,will.i.am,29
Animex52,wina,3
Animex52,Wittvector,8
Animex52,wolfpack,1
Animex52,wortel,5
Animex52,wump,25
Animex52,XMIL,54
Animex52,xor,1
Animex52,Yeesh,19
Animex52,Yuga Suggah,9
Animex52,Zakisan,19
Animex52,Zamiel,12
Animex52,zebel,1
Animex52,zeroblackalpha,1
Animex52,zeyaoli,1
Animex52,zombyw00f,3
