name,pagerank,community
--jb--,6.2974356058624425e-06,0
-.-,8.579271947276647e-06,1
-_-,3.1726552594620426e-05,2
-Jeff-,9.009721126001535e-06,3
-mwood,2.9573469525714996e-05,4
 afriendlyally,1.2190974280082977e-05,5
 Kopfscherz,1.77782537786177e-05,6
.files,9.123969266013719e-05,7
_bubblysteph,1.965333700136129e-05,8
_danielsimms,5.901904410035063e-06,9
_fleabo_,2.9526957912041912e-05,10
_graverobber,2.0221874405950104e-05,11
_jeanne,1.634959946691023e-05,12
_jobab_,7.273673971898432e-06,13
_kaf,2.0221874405950104e-05,14
_laura_,2.0221874405950104e-05,15
_mclaire,1.4390167169575074e-05,16
_meghyn_,1.5811694963707978e-05,17
_misung,2.6238931559184513e-05,18
_r3j,7.334453400918855e-06,19
_REMI_REMI_,7.768883038054745e-06,20
_shree33,1.0748500283075752e-05,21
_swagster19.45_,2.0221874405950104e-05,22
_T1m_,3.5003646413273405e-06,16
_tai,4.205426535730569e-06,23
_Trase_,1.736589733556353e-05,24
0ppium,3.5932692758399556e-06,16
0str8,7.157890307130004e-06,25
0woodwind0,1.5286351315700254e-05,26
0xbaadd00d,1.4655390202842639e-05,27
a-kash,6.066994972392076e-05,28
a-man777,3.162177949340306e-06,29
a-men,8.862961499217952e-05,30
a-real-pickle,2.510806609169906e-05,31
A J,2.827923083465016e-05,32
a stupid thing,2.2304893394965132e-05,33
a very fun game,4.8065350011386075e-06,34
A.Bots,1.8691579727104776e-05,35
a.huaang,2.0221874405950104e-05,36
a.l.e.x,4.993567270654493e-06,37
a.plort,3.609199798686678e-06,38
A.Wiehler,2.2223618460686886e-05,39
A.x.a,2.5764216843280798e-05,40
a____sz,2.537717042425781e-05,41
a_benchling,1.9608519345996268e-05,42
A_BIG_GAY_L,4.383003346119287e-05,43
a_bird,1.1651792805639883e-05,44
A_Mess,8.872437960400892e-06,45
a_muse,1.1280296333526586e-05,46
A_PatchE,1.139779960909613e-05,47
a_person,1.62220691259986e-05,48
a_pinard,2.0221874405950104e-05,49
a_qq22,1.666818627979682e-05,50
a_qq23,4.999269266808177e-06,51
a_small_emu,4.7363163183079314e-05,52
a_temp_username,1.0060143799164676e-05,53
A_Tibbical_Day,7.507531096705451e-05,54
a_tnguyen,3.0658678433782044e-05,55
A_Tom,2.3497113331885074e-05,56
